code,log_ki_kd
1t5a,4.62
2f0z,4.77
6edl,8.7
1nf8,7.82
4ory,3.53
6n78,9.68
1ybg,4.8
1mrn,4.52
5eb3,1.45
2oc1,5.37
3cpb,4.6
1i37,9.57
4phw,10.0
4ucd,4.0
4yrg,2.7
4amx,2.19
1x8t,7.8
3tif,5.38
2b4l,4.77
2ow2,8.22
1udu,9.05
5osd,3.21
4hkp,4.55
5auu,4.68
1ida,8.7
4b6r,5.85
5ipa,4.7
5ks7,5.32
5i4v,8.52
1zoh,7.0
4tvj,7.91
3adt,4.55
6mdb,7.17
3t09,3.8
2pk6,10.89
2o3z,5.7
3csl,7.22
3tdc,8.27
3f3v,7.14
6moa,7.08
4j4n,6.88
6udv,10.29
3cwk,6.6
3pxy,5.23
1utz,5.85
1t13,7.38
4q4s,6.95
5lws,3.94
3ftv,2.93
1cin,8.73
1lah,7.52
5etn,5.37
3e3u,7.89
2pu1,5.85
1ppm,5.8
1s17,8.3
5o2d,5.68
2g78,6.92
5oh1,4.41
5nf5,6.82
4ps5,6.54
5g5z,5.66
4mrf,1.95
6gqm,4.48
6f4w,5.53
4ie4,5.48
5lsh,3.39
1gym,2.7
5hkb,5.59
3o2m,4.8
4x6j,7.8
4y8x,8.43
4ykj,4.43
2agv,7.7
6cqz,9.64
3hwx,7.86
4tw8,5.58
4fyh,4.85
2ydo,7.51
4ly9,8.15
1jcx,5.15
6f6r,8.25
5zc5,7.06
4q2k,7.48
4uyn,8.4
4l9i,4.89
6hdq,7.0
3wpn,4.36
4l2f,6.23
4z2g,6.66
6eip,5.7
6o6g,6.52
1y2f,4.92
5q0h,7.92
2o9i,7.4
5aix,7.92
3pz1,6.14
2oqi,8.49
4oys,8.82
4u79,6.4
3f15,8.1
5qao,3.62
3msc,3.31
2o4j,10.1
3ilq,5.21
2ans,5.92
3d3p,8.5
6mlj,7.26
1ctt,4.52
2amv,8.8
4hvb,9.95
1oko,4.54
4zzz,7.06
3nnv,7.57
5f95,8.01
5i94,7.52
5vqw,5.7
5otc,4.71
2r2w,4.47
3h0e,8.15
4d2t,6.0
6oah,5.82
5mgk,4.0
3qxt,5.22
2xne,6.72
5orw,3.1
5ura,6.4
4c61,8.4
6iby,7.82
3w2p,5.09
4zsq,5.65
3s71,8.64
6hzv,8.22
3bmq,5.49
6s4u,7.76
1dtt,8.3
6fa5,6.75
3nzu,8.85
5ntk,8.01
3dln,6.6
4db7,6.56
3vnt,8.66
4fjz,6.29
3cda,7.58
6f9r,4.97
6gnr,5.44
5bry,11.82
3aaq,3.3
3jsi,8.68
5ml0,6.3
3efw,8.4
5kre,7.23
5vqt,5.74
5u69,6.22
5mny,1.31
5ljq,9.0
5ne5,7.41
3gol,7.09
5am7,7.19
4ear,9.82
5x4o,4.06
4jck,2.37
5aly,6.73
3wz7,5.74
5vdu,3.7
5ejl,6.62
4i8x,2.64
4mse,6.16
5mz3,6.66
3orn,9.62
1v2t,4.71
5fi6,7.52
3fun,6.72
4n7j,5.47
1fta,6.36
4mro,7.06
5g42,2.3
3f34,3.16
2pjb,7.72
3kvw,6.89
2iu0,6.89
5mys,4.3
1a8t,5.8
3u5l,6.19
3m37,9.04
1k1m,7.4
1iiq,7.48
4drm,5.24
3s74,8.4
6duk,9.59
4cpy,6.31
5llg,11.13
4eu3,0.82
3ewh,7.16
4tte,3.69
2oc9,7.96
5bqg,4.76
4zwy,8.7
6omu,8.7
6uf0,7.14
6n77,9.24
2y7k,4.93
3u78,5.6
3iww,7.96
3u4u,8.52
4hym,8.22
4b3c,2.68
5qah,3.84
3kyq,4.22
2jdt,6.77
1o2p,4.85
2ha6,4.32
4u7q,9.74
5kr1,9.49
5usz,6.97
3wyl,8.85
1d8f,7.74
3a3y,9.15
4tkj,6.04
6ufn,5.64
5zwh,8.72
1ttm,7.35
6o6f,7.4
4rxd,6.52
4e49,5.11
1p1o,5.76
3rkb,6.42
5ni7,7.7
1css,6.1
1ngw,7.68
4hnp,6.78
4gg7,8.2
3g8o,7.8
1sbg,7.74
5o1s,3.65
4mi9,3.42
6oa3,6.4
6bfd,8.3
1udt,9.3
4nct,7.55
4eyj,6.21
6ezg,7.69
3lhg,7.7
3ogx,6.48
1gj5,4.96
2wzy,10.72
2d41,6.82
4bo8,6.92
5ahw,5.17
5jf4,7.19
6cf7,7.91
1rr6,10.25
1b9s,3.18
5ctb,7.64
4ajn,7.16
5kcv,8.3
3l2y,4.49
1sre,3.85
5o7i,6.09
6ajg,5.78
3aav,6.62
3btc,5.75
5hrx,5.29
6eir,6.24
4awj,2.0
6u6w,5.33
4pns,4.52
5ouh,5.67
6gwr,8.1
4zyc,6.42
1xon,10.68
4rqv,5.05
6fyp,6.84
4o77,5.6
5fsc,2.36
4kbk,8.18
6dpy,4.1
2yln,7.68
1u3r,8.3
4k6z,8.7
6hm2,7.33
5q0q,6.11
4zsl,5.0
3e16,5.24
4zy2,7.22
2wu6,7.53
3t2q,3.66
6g37,7.37
6exs,3.44
4pb2,4.8
3h5u,8.52
5nfa,5.25
2am2,5.1
3s3v,6.23
3r6t,5.86
5a4c,8.24
3u6a,6.49
6ek3,6.48
5lvd,2.62
4cl9,7.3
5hkm,7.89
4av4,7.03
3kec,7.24
1c3e,6.59
6qxs,7.13
4c4i,7.66
4nb6,7.22
2vcx,7.68
5zo8,8.2
6b8u,9.7
1srg,5.3
1f74,3.05
5q1c,8.08
2feq,8.86
3rxg,2.15
1rry,4.1
4hlc,6.76
5nya,6.38
2arm,7.68
4x21,7.44
3dsu,7.03
6dgl,5.52
6ay5,7.16
5al3,4.96
6q9s,7.77
4hy4,8.57
4bo3,6.52
1bcj,3.7
6fg6,3.4
1kpm,5.8
1ppk,7.66
4tmr,7.22
4eny,7.05
4fod,8.92
4poj,8.1
2cex,4.7
4oo9,9.07
3bi1,9.92
6bbv,6.1
5fl5,8.19
6czi,6.25
6bt0,5.68
3bcn,7.12
3hfj,4.44
5hka,6.46
2ov4,4.74
4bi0,4.23
2xm9,8.05
1dtq,8.22
4rvl,7.38
2ony,6.68
4p5e,5.55
4b34,3.14
1j15,3.84
4mwr,9.39
3t85,7.95
3lik,8.72
3ljt,6.89
4mx5,4.55
5oug,2.77
4hlk,5.96
3ant,8.07
6dkg,8.59
6q60,5.71
5xg5,3.48
6di1,6.74
1v2o,4.73
5uis,6.84
3qtx,7.15
3umx,6.62
4fm8,5.97
3g4k,6.54
5ha1,7.19
4rj4,7.8
6eeb,5.3
6fgc,5.48
6inm,6.29
5etk,5.82
1nyx,7.04
1wtg,7.03
6nmb,2.7
2aj8,6.2
1d7i,3.6
6qls,5.35
4ql1,7.03
4yt6,7.96
4flh,9.0
5opc,4.54
4wpf,6.6
3tdj,5.25
4v05,9.7
5cyi,5.88
4owo,4.47
5v8q,8.44
2glp,5.01
6uim,6.74
6f6u,4.8
7gch,5.7
3ej5,3.57
3h5s,8.3
3r0y,4.84
1a4h,5.92
6chn,7.96
3wiz,8.36
4mrh,1.9
6nzv,10.17
5fls,3.04
5i1q,7.92
4ce2,3.84
5f29,5.05
6hu1,6.72
1xh7,6.82
1o4h,2.44
2ynd,7.49
5k03,4.74
5alc,8.13
3ipa,6.22
5arg,7.57
1d4j,8.36
4obo,7.11
1qyg,6.85
1xka,6.88
2qd9,7.89
2qk8,7.91
5ota,5.74
6mia,2.6
5etb,4.54
3omm,7.43
6cn6,8.3
4msc,5.96
6euz,4.18
6h7y,9.46
4lq9,4.85
1egh,5.7
5al1,4.28
3m40,6.77
2c6g,3.37
2z4o,9.57
5nx9,4.6
3tdh,4.26
4pnt,5.82
3kxz,7.46
2j4g,6.6
5ivt,9.1
2ay9,2.16
5o48,4.7
3iok,7.96
4uj2,7.1
4rqk,5.82
4oag,6.3
3fv8,6.8
6elo,6.29
4eos,6.05
2vjx,4.96
3nef,5.94
4l7h,3.7
1h1s,8.22
6b4h,8.52
2x7c,5.7
4jit,6.64
5g0q,10.0
1q9m,6.48
4pl4,5.27
5h1t,3.8
5q0f,9.89
4f9y,6.74
6k3l,7.22
5ap5,7.97
1r10,3.83
4j5d,5.96
3q2h,9.16
4tsx,4.99
6bmv,4.68
3sni,7.96
5unp,10.02
2v3u,3.0
5yia,5.52
5f2s,6.7
5jn8,7.3
1tl1,6.42
4ty9,2.05
3nhi,8.43
4fak,4.28
5jf5,7.2
3hvj,8.7
3os3,6.63
1ecv,4.85
6uwv,8.0
2wmu,4.38
2f9b,6.52
2fl6,7.42
3vd7,4.48
4rvr,6.87
6qra,6.15
2bdj,9.35
5tzh,6.17
4yv2,7.29
5ksx,5.43
3d0e,8.4
2i7c,5.07
2itp,7.95
5bvf,9.72
4mw2,6.7
6nu5,5.15
5ktu,6.21
5ar7,6.49
5x27,9.4
4wup,9.82
5wbf,3.81
3hp2,6.17
5hvy,7.76
5oae,4.6
6pve,7.37
5ih6,5.6
2xm1,5.07
2z4y,6.15
5f6u,2.52
6f6i,3.19
6efj,3.32
4lm0,3.25
2waj,6.4
2yfa,5.07
6gjj,3.7
1f4x,5.59
6fcj,7.15
5h8g,10.32
4e70,5.28
3sz1,4.66
5qac,3.6
2vwx,7.4
5acw,3.84
4p44,7.8
3dtc,7.59
4c4g,8.22
5q1g,3.58
5yso,7.4
5ekx,2.03
5kbq,7.0
3jzf,5.3
1nhg,7.3
6r7r,6.33
4ek9,4.42
5xih,7.15
3si3,4.16
4zsm,2.4
6g3v,6.04
1l5q,3.97
1n4k,10.05
3h2c,3.3
6r8o,8.22
6aro,5.15
2qv7,3.66
3lkj,4.6
4exs,4.41
5nxo,8.31
3ttp,9.12
1eb2,6.01
1dzk,6.1
5wip,4.71
6ce6,5.1
2c4v,2.6
5ezg,4.92
6qi7,6.46
5jn9,7.79
6phr,6.7
1rek,6.7
4y5d,5.92
3kw9,9.0
1sdt,9.27
3arz,6.0
5xmv,7.68
1gjd,5.22
4g2w,8.8
1y4z,7.24
6b5a,7.94
3k3i,5.72
5c7b,3.0
5uci,5.37
5tcj,7.38
3fty,3.21
4y3j,2.17
2onz,8.89
3iae,3.89
6abk,1.95
4hhy,8.72
6haz,7.0
6h78,7.33
4xv2,8.27
6gji,3.87
2giu,8.82
5oh7,4.37
3oz1,8.7
6rnt,2.37
6miy,7.73
5nw0,6.52
5v5n,8.02
5zkb,8.7
2r3t,5.85
6hcu,7.82
4fut,6.51
3ime,3.0
5c1x,5.75
4nus,8.3
5jrq,6.77
1dth,8.22
4mr5,6.6
1pb8,5.15
2p8h,7.15
4obv,0.75
2nta,4.8
1di9,5.3
6s5k,7.32
2nnv,7.52
5eue,6.77
5csp,4.24
1f28,7.8
2r38,7.44
3l5r,7.42
6fqu,5.66
1nfu,7.74
4alw,7.57
2qu2,5.43
6sde,10.2
2piz,6.77
4mti,8.92
2xeg,10.7
6r8r,7.07
5du8,5.72
1kf0,2.55
3t9t,8.71
